Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Liliana's Mastery,B,R,1213,1.78,746,1.7,2849,85.8%,58.1%,446,,798,64.9%,1244,65.4%,1609,52.5%,13.0pp
Lord of the Accursed,B,U,6803,3.13,1942,3.44,6394,80.0%,55.9%,1316,60.6%,1930,59.3%,3246,59.8%,3406,52.7%,7.1pp
Marauding Boneslasher,B,C,38799,6.43,5194,8.96,10289,54.0%,54.3%,2197,54.1%,3640,53.2%,5837,53.6%,5226,54.9%,-1.4pp
Miasmic Mummy,B,C,39700,6.73,4579,9.7,8379,47.8%,53.9%,1680,53.0%,2760,54.0%,4440,53.6%,4318,54.4%,-0.8pp
Nest of Scarabs,B,U,10051,4.93,1520,6.36,3001,50.1%,52.5%,578,50.9%,918,49.9%,1496,50.3%,1581,54.4%,-4.1pp
Never // Return,B,R,1182,1.69,716,1.64,2904,85.9%,58.5%,502,57.0%,857,63.4%,1359,61.0%,1553,56.4%,4.6pp
Pitiless Vizier,B,C,41151,7.03,5207,9.83,8031,40.3%,53.4%,1605,50.5%,3000,55.0%,4605,53.4%,3906,53.9%,-0.5pp
"Razaketh, the Foulblooded",B,M,681,2.07,231,,573,54.2%,52.5%,93,,164,,257,,320,,
Ruthless Sniper,B,U,8750,4.0,2430,4.51,7060,72.5%,55.3%,1376,60.4%,2595,56.9%,3971,58.1%,3446,52.6%,5.5pp
Scarab Feast,B,C,45341,8.23,5323,11.6,3739,18.4%,54.6%,724,55.2%,1347,56.1%,2071,55.8%,1838,53.6%,2.2pp
Shadow of the Grave,B,R,3688,5.48,505,7.84,155,7.2%,,23,,49,,72,,84,,
Soulstinger,B,C,35169,5.46,5512,7.42,14039,66.9%,54.9%,2817,53.4%,5042,56.4%,7859,55.3%,7119,54.6%,0.7pp
Splendid Agony,B,C,31460,4.77,7432,5.79,21109,76.3%,56.4%,4446,57.1%,7661,58.3%,12107,57.9%,10329,55.1%,2.8pp
Supernatural Stamina,B,C,41262,7.15,4100,10.66,4740,28.9%,53.3%,848,54.8%,1315,50.8%,2163,52.4%,2629,54.3%,-1.9pp
Thoughtseize,B,R,1615,2.47,470,,1202,61.8%,54.2%,187,,346,,533,53.8%,671,54.4%,-0.6pp
Torment of Hailfire,B,R,1241,2.02,524,1.88,1695,73.5%,54.2%,272,,500,57.8%,772,54.7%,925,53.9%,0.7pp
Trespasser's Curse,B,C,36946,6.61,2897,10.65,2031,19.8%,47.0%,408,,702,46.7%,1110,46.0%,1036,48.2%,-2.1pp
Trial of Ambition,B,U,6493,2.98,2279,3.24,7810,80.0%,57.0%,1449,59.8%,3785,63.1%,5234,62.2%,4044,55.1%,7.0pp
Unburden,B,C,41420,7.04,4669,10.24,5582,31.1%,54.6%,1053,50.4%,1850,56.8%,2903,54.5%,2794,54.7%,-0.2pp
Vile Manifestation,B,U,10898,4.93,2329,6.03,6321,68.4%,56.5%,1274,57.5%,2542,60.8%,3816,59.7%,2939,53.7%,6.0pp
Wander in Death,B,C,39454,6.35,5630,8.8,12982,58.4%,54.8%,2428,51.2%,4149,56.0%,6577,54.2%,6675,55.2%,-0.9pp
Wasp of the Bitter End,B,U,11426,5.09,1932,6.7,5271,65.6%,55.6%,1071,52.9%,1685,55.1%,2756,54.3%,2750,56.7%,-2.4pp
Wasteland Scorpion,B,C,35121,5.41,4758,7.66,12817,71.4%,53.5%,2681,51.3%,4704,53.7%,7385,52.8%,6284,54.3%,-1.5pp
Abrade,R,U,5754,2.59,2880,2.73,11241,91.5%,58.5%,2162,60.2%,3224,58.8%,5386,59.4%,6090,57.6%,1.8pp
Ahn-Crop Crasher,R,U,6514,2.85,2951,3.0,10942,89.8%,59.6%,2208,60.5%,2992,61.3%,5200,60.9%,6028,58.6%,2.3pp
Anger of the Gods,R,R,1411,2.3,640,2.15,1833,69.0%,56.0%,325,,510,58.6%,835,60.0%,998,52.7%,7.3pp
Battlefield Scavenger,R,U,10385,4.59,2418,5.61,8480,84.1%,58.3%,1659,60.9%,2239,57.9%,3898,59.2%,4772,57.4%,1.8pp
Bloodlust Inciter,R,C,42321,7.64,5414,10.67,6603,32.8%,56.7%,1235,59.2%,1605,48.6%,2840,53.2%,3891,58.8%,-5.6pp
Blur of Blades,R,C,40168,6.74,5852,9.34,10572,46.2%,56.8%,2020,57.0%,2996,56.5%,5016,56.7%,5828,57.2%,-0.5pp
Brute Strength,R,C,42999,7.43,5656,10.45,9142,41.9%,57.5%,1613,57.1%,2407,57.0%,4020,57.1%,5291,57.6%,-0.6pp
Burning-Fist Minotaur,R,U,8713,3.78,2967,4.29,10871,87.6%,58.5%,2150,59.4%,2999,56.1%,5149,57.5%,5984,59.1%,-1.6pp
By Force,R,U,16201,8.33,1837,12.15,60,0.8%,,8,,17,,25,,35,,
Cartouche of Zeal,R,C,35589,5.73,6712,7.43,14979,59.7%,56.5%,2918,53.5%,4198,56.0%,7116,55.0%,8346,57.3%,-2.3pp
"Chandra, Pyromaster",R,M,473,,362,,1322,85.1%,57.3%,254,,328,,582,61.5%,746,53.9%,7.6pp
Chandra's Defeat,R,U,15985,8.14,1938,11.67,128,1.5%,,27,,31,,58,,71,,
Combat Celebrant,R,M,575,1.79,326,,1124,81.0%,56.7%,219,,285,,504,55.8%,633,57.5%,-1.7pp
Crash Through,R,C,43256,7.64,5590,10.8,6375,30.4%,54.9%,1232,56.3%,1796,52.4%,3028,54.0%,3520,55.6%,-1.6pp
Deem Worthy,R,U,7341,3.32,3266,3.56,12342,85.9%,59.6%,2349,60.8%,3630,62.0%,5979,61.5%,6652,58.0%,3.5pp
Desert Cerodon,R,C,41057,6.75,6629,9.25,14813,56.4%,57.2%,3014,54.5%,4775,56.2%,7789,55.5%,7779,58.9%,-3.3pp
Earthshaker Khenra,R,R,1352,1.92,835,1.89,3505,88.7%,59.6%,655,63.8%,860,63.0%,1515,63.4%,2002,56.9%,6.4pp
Fervent Paincaster,R,U,9356,4.07,2792,4.68,9770,82.7%,57.2%,1887,57.0%,2811,57.1%,4698,57.1%,5328,57.3%,-0.2pp
Firebrand Archer,R,C,37437,5.99,6475,8.09,16852,70.4%,57.1%,3535,56.9%,5276,54.8%,8811,55.6%,8896,58.2%,-2.5pp
Gilded Cerodon,R,C,42211,7.11,6438,9.82,12071,45.9%,57.0%,2136,57.1%,3555,56.9%,5691,57.0%,6762,57.1%,-0.1pp
